U,HNXZ4182664,2,2,0
U,JYZU0720579,2,5,0
U,VPFU6956294,2,6,0
U,XWPJ1361780,2,7,0
U,AZRU4139351,2,0,0
U,PNPJ8180200,1,0,0
U,WQWU3910250,2,1,0
U,LJDJ5491786,1,1,0
U,KLQU5629223,1,2,0
U,NAOU8505316,1,5,0
U,FZSU7914024,0,0,0
U,CVJJ8211444,2,4,0
U,AOIJ8929364,1,4,0
U,OBAZ7943982,0,4,0
L,AZRU4139351,0,4,0
L,WQWU3910250,0,0,0
L,CVJJ8211444,1,5,0
L,AOIJ8929364,1,4,0
L,BDAJ8575268,1,2,0
L,OEBJ0985191,1,1,0
L,DAAJ1826514,1,0,0
L,XSWJ5173518,2,7,0
L,KLKU7827829,2,6,0
L,ZHBJ1250079,2,5,0
L,PTOU5702374,2,4,0
L,CVUJ1364553,2,2,0
