U,YYSJ0718380,1,0,0
U,ADLZ7658636,2,2,0
U,XPHJ2004878,1,2,0
U,OBAZ7943982,2,6,0
U,HLZU1474050,1,6,0
U,JOLU1531699,2,7,0
U,WSQZ8502139,1,7,0
U,UABU9043157,2,4,0
U,NAOU8505316,1,4,0
U,JUFU1045326,0,4,0
U,MNQU0222606,2,5,0
U,KLQU5629223,1,5,0
U,KNCZ8607350,0,5,0
L,ADLZ7658636,0,5,0
L,OBAZ7943982,0,4,0
L,JOLU1531699,1,7,0
L,UABU9043157,1,6,0
L,NAOU8505316,1,5,0
L,MNQU0222606,1,4,0
L,KLQU5629223,1,2,0
L,HKXZ7824499,1,0,0
L,LGUZ7792898,2,7,0
L,BWHZ6908218,2,6,0
L,YGLJ2360756,2,5,0
L,FPSU6548975,2,4,0
L,HNXZ4182664,2,2,0
L,PYFZ6854934,2,0,0
R,XGXZ8915273,-1,-1,-1
R,MVVZ9041982,-1,-1,-1
R,QCHU5504953,-1,-1,-1
